Row 1: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 2: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 3: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 4: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 5: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 6: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 7: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 8: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number
Row 9: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number
Row 10: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number
Row 11: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number
Row 12: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number
Row 13: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 14: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number
Row 15: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number
Row 16: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number
Row 17: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number
Row 18: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number
Row 19: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number
Row 20: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 21: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 22: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 23: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number
Row 24: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number
Row 25: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number, emergencyContactPhone: Expected string, received number
Row 26: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 27: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 28: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number, referenceNumber: Expected string, received number
Row 29: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number
Row 30: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'MALE', phone: Expected string, received number
Row 31: dateOfBirth: Expected string, received date, gender: Invalid enum value. Expected 'male' | 'female' | 'non_binary' | 'prefer_not_to_say', received 'FEMALE', phone: Expected string, received number, referenceNumber: Expected string, received number
